item_name,grid_x,grid_y,pixel_x,pixel_y
Dagger of Dire Hatred,0,0,0,0
Bow of Deep Enchantment,1,0,40,0
Staff of the Fundamental Core,2,0,80,0
Wand of Retribution,3,0,120,0
Sword of Majesty,4,0,160,0
Kusanagi,5,0,200,0
Soulforged Blades,6,0,240,0
Longbow of the Midnight Diamond,7,0,280,0
Spellblade of the Everlasting Death,8,0,320,0
Morning Star of Reckoning,9,0,360,0
Gravelord's Flail,10,0,400,0
Godslayer Tachi,11,0,440,0
Cloak of Nightmares,12,0,480,0
Quiver of the Autumn King,13,0,520,0
Burning Retribution Spell,14,0,560,0
Tome of Hallowed Language,15,0,600,0
Helm of the Tribune,16,0,640,0
Shield of Orcish Regalia,17,0,680,0
Seal of Invocation,18,0,720,0
Necrofish Poison,19,0,760,0
Mindwaster Skull,20,0,800,0
Depthchaser Trap,21,0,840,0
Dimensiongate Orb,22,0,880,0
Prism of Reveries,23,0,920,0
Scepter of the Firmament,24,0,960,0
Dynastic Star,25,0,1000,0
Virtuous Wakizashi,26,0,1040,0
Nebular Lute,27,0,1080,0
Grandmaster Mace,0,1,0,40
Sonic Wave Sheath,1,1,40,40
Sigil of the Rhino,2,1,80,40
Leviathan Armor,3,1,120,40
Robe of the Ancient Intellect,4,1,160,40
Annihilation Armor,5,1,200,40
Ring of Transcendent Health,6,1,240,40
Ring of Transcendent Magic,7,1,280,40
Ring of Transcendent Attack,8,1,320,40
Ring of Transcendent Defense,9,1,360,40
Ring of Transcendent Speed,10,1,400,40
Ring of Transcendent Dexterity,11,1,440,40
Ring of Transcendent Vitality,12,1,480,40
Ring of Transcendent Wisdom,13,1,520,40
Demon Blade,14,1,560,40
Volcanic Sheath,15,1,600,40
Berserker's Breastplate,16,1,640,40
Demon Blade (shiny),17,1,680,40
Volcanic Sheath (shiny),18,1,720,40
Staff of Eruption,19,1,760,40
Scorchium Stone,20,1,800,40
Molten Mantle,21,1,840,40
Ring of the Inferno,22,1,880,40
Sword of Illumination,23,1,920,40
Adamantine Helm,24,1,960,40
Arcane Rapier,25,1,1000,40
Amber Encrusted Helmet,26,1,1040,40
Sandstone Seal,27,1,1080,40
Arcane Rapier (shiny),0,2,0,80
Amber Encrusted Helmet (shiny),1,2,40,80
Sandstone Seal (shiny),2,2,80,80
Resplendent Bow,3,2,120,80
Embellished Quiver,4,2,160,80
Ornate Armor,5,2,200,80
Aquamarine Amulet,6,2,240,80
Candy Ring,7,2,280,80
Candy-Coated Armor,8,2,320,80
Bubblegum Bucket,9,2,360,80
Candy Ring (shiny),10,2,400,80
Candy-Coated Armor (shiny),11,2,440,80
Pixie-Enchanted Sword,12,2,480,80
Seal of the Enchanted Forest,13,2,520,80
Fairy Plate,14,2,560,80
Ring of Pure Wishes,15,2,600,80
Bottled Medusozoan,16,2,640,80
Cnidaria Rod,17,2,680,80
Bottled Medusozoan (shiny),18,2,720,80
Cnidaria Rod (shiny),19,2,760,80
Fungal Breastplate,20,2,800,80
Crystallized Worm Spellblade,21,2,840,80
Crystal Shield,22,2,880,80
Sporous Spray Spell,23,2,920,80
Tome of the Mushroom Tribes,24,2,960,80
Cave Dweller Trap,25,2,1000,80
Ring of Decades,26,2,1040,80
Fungal Breastplate (shiny),27,2,1080,80
Crystal Shield (shiny),0,3,0,120
Sporous Spray Spell (shiny),1,3,40,120
Tome of the Mushroom Tribes (shiny),2,3,80,120
Cave Dweller Trap (shiny),3,3,120,120
Ring of Decades (shiny),4,3,160,120
Crystalline Sigil,5,3,200,120
Quartz Cutter,6,3,240,120
Crystalline Kunai,7,3,280,120
Luminous Armor,8,3,320,120
Radiant Heart,9,3,360,120
Irradiance Sheath,10,3,400,120
Fractal Blades,11,3,440,120
Cloak of Refraction,12,3,480,120
Echoes Prism,13,3,520,120
Fractured Gemstone Wakizashi,14,3,560,120
Star of Enlightenment,15,3,600,120
Crystallised Mist,16,3,640,120
Fractal Blades (shiny),17,3,680,120
Cloak of Refraction (shiny),18,3,720,120
Fractured Gemstone Wakizashi (shiny),19,3,760,120
Star of Enlightenment (shiny),20,3,800,120
Wand of Hidden Knowledge,21,3,840,120
Necronomicon,22,3,880,120
Scholar's Seal,23,3,920,120
Ronin's Wakizashi,24,3,960,120
Corruption Cutter,25,3,1000,120
Necronomicon (shiny),26,3,1040,120
Scholar's Seal (shiny),27,3,1080,120
Ronin's Wakizashi (shiny),0,4,0,160
Corruption Cutter (shiny),1,4,40,160
